timestamp_utc,yield_pct,source
2026-04-26T23:30:00Z,4.93,CNBC
2026-04-26T23:31:00Z,4.931,CNBC
2026-04-26T23:32:00Z,4.931,CNBC
2026-04-26T23:33:00Z,4.93,CNBC
2026-04-26T23:34:00Z,4.93,CNBC
2026-04-26T23:35:00Z,4.93,CNBC
2026-04-26T23:38:00Z,4.931,CNBC
2026-04-26T23:41:00Z,4.931,CNBC
2026-04-26T23:42:00Z,4.931,CNBC
2026-04-26T23:47:00Z,4.93,CNBC
2026-04-26T23:51:00Z,4.93,CNBC
2026-04-26T23:52:00Z,4.93,CNBC
2026-04-26T23:54:00Z,4.93,CNBC
2026-04-26T23:55:00Z,4.93,CNBC
2026-04-26T23:58:00Z,4.931,CNBC
2026-04-26T23:59:00Z,4.931,CNBC
