timestamp_utc,yield_pct,source
2026-05-12T09:44:00Z,5.775,CNBC
2026-05-12T09:46:00Z,5.776,CNBC
2026-05-12T09:47:00Z,5.773,CNBC
2026-05-12T09:48:00Z,5.772,CNBC
2026-05-12T09:49:00Z,5.77,CNBC
2026-05-12T09:50:00Z,5.769,CNBC
2026-05-12T09:51:00Z,5.769,CNBC
2026-05-12T09:52:00Z,5.767,CNBC
2026-05-12T09:53:00Z,5.767,CNBC
2026-05-12T09:54:00Z,5.767,CNBC
2026-05-12T09:59:00Z,5.766,CNBC
2026-05-12T10:00:00Z,5.769,CNBC
2026-05-12T10:01:00Z,5.768,CNBC
2026-05-12T10:02:00Z,5.768,CNBC
2026-05-12T10:03:00Z,5.767,CNBC
2026-05-12T10:04:00Z,5.767,CNBC
2026-05-12T10:05:00Z,5.767,CNBC
2026-05-12T10:06:00Z,5.77,CNBC
2026-05-12T10:07:00Z,5.767,CNBC
2026-05-12T10:08:00Z,5.765,CNBC
2026-05-12T10:09:00Z,5.768,CNBC
2026-05-12T10:10:00Z,5.767,CNBC
2026-05-12T10:11:00Z,5.769,CNBC
2026-05-12T10:12:00Z,5.767,CNBC
2026-05-12T10:13:00Z,5.769,CNBC
2026-05-12T10:14:00Z,5.768,CNBC
2026-05-12T10:15:00Z,5.77,CNBC
2026-05-12T10:16:00Z,5.77,CNBC
2026-05-12T10:17:00Z,5.772,CNBC
2026-05-12T10:18:00Z,5.771,CNBC
2026-05-12T10:19:00Z,5.77,CNBC
2026-05-12T10:20:00Z,5.771,CNBC
2026-05-12T10:21:00Z,5.772,CNBC
2026-05-12T10:22:00Z,5.77,CNBC
2026-05-12T10:23:00Z,5.771,CNBC
2026-05-12T10:24:00Z,5.769,CNBC
2026-05-12T10:25:00Z,5.77,CNBC
2026-05-12T10:26:00Z,5.769,CNBC
2026-05-12T10:27:00Z,5.767,CNBC
2026-05-12T10:28:00Z,5.767,CNBC
2026-05-12T10:29:00Z,5.766,CNBC
2026-05-12T10:30:00Z,5.764,CNBC
2026-05-12T10:31:00Z,5.767,CNBC
2026-05-12T10:32:00Z,5.769,CNBC
2026-05-12T10:33:00Z,5.768,CNBC
2026-05-12T10:34:00Z,5.768,CNBC
2026-05-12T10:35:00Z,5.767,CNBC
2026-05-12T10:36:00Z,5.765,CNBC
2026-05-12T10:37:00Z,5.764,CNBC
2026-05-12T10:38:00Z,5.764,CNBC
2026-05-12T10:39:00Z,5.765,CNBC
2026-05-12T10:40:00Z,5.763,CNBC
2026-05-12T10:41:00Z,5.763,CNBC
2026-05-12T10:42:00Z,5.763,CNBC
2026-05-12T10:43:00Z,5.762,CNBC
2026-05-12T10:44:00Z,5.76,CNBC
2026-05-12T10:45:00Z,5.76,CNBC
2026-05-12T10:46:00Z,5.764,CNBC
2026-05-12T10:47:00Z,5.765,CNBC
2026-05-12T10:50:00Z,5.777,CNBC
2026-05-12T10:51:00Z,5.778,CNBC
2026-05-12T10:52:00Z,5.778,CNBC
2026-05-12T10:53:00Z,5.777,CNBC
2026-05-12T10:54:00Z,5.775,CNBC
2026-05-12T10:55:00Z,5.774,CNBC
2026-05-12T10:56:00Z,5.774,CNBC
2026-05-12T10:57:00Z,5.773,CNBC
2026-05-12T10:58:00Z,5.772,CNBC
2026-05-12T10:59:00Z,5.77,CNBC
2026-05-12T11:00:00Z,5.767,CNBC
2026-05-12T11:01:00Z,5.767,CNBC
2026-05-12T11:02:00Z,5.77,CNBC
2026-05-12T11:03:00Z,5.772,CNBC
2026-05-12T11:04:00Z,5.773,CNBC
2026-05-12T11:05:00Z,5.772,CNBC
2026-05-12T11:06:00Z,5.769,CNBC
2026-05-12T11:07:00Z,5.768,CNBC
2026-05-12T11:08:00Z,5.768,CNBC
2026-05-12T11:09:00Z,5.765,CNBC
2026-05-12T11:10:00Z,5.764,CNBC
2026-05-12T11:11:00Z,5.761,CNBC
2026-05-12T11:12:00Z,5.765,CNBC
2026-05-12T11:13:00Z,5.764,CNBC
2026-05-12T11:14:00Z,5.761,CNBC
2026-05-12T11:15:00Z,5.761,CNBC
2026-05-12T11:16:00Z,5.761,CNBC
2026-05-12T11:17:00Z,5.76,CNBC
2026-05-12T11:18:00Z,5.759,CNBC
2026-05-12T11:19:00Z,5.759,CNBC
2026-05-12T11:20:00Z,5.764,CNBC
2026-05-12T11:21:00Z,5.767,CNBC
2026-05-12T11:22:00Z,5.768,CNBC
2026-05-12T11:23:00Z,5.768,CNBC
2026-05-12T11:24:00Z,5.764,CNBC
2026-05-12T11:25:00Z,5.763,CNBC
2026-05-12T11:26:00Z,5.762,CNBC
2026-05-12T11:27:00Z,5.762,CNBC
2026-05-12T11:28:00Z,5.762,CNBC
2026-05-12T11:29:00Z,5.763,CNBC
2026-05-12T11:30:00Z,5.764,CNBC
2026-05-12T11:31:00Z,5.768,CNBC
2026-05-12T11:32:00Z,5.771,CNBC
2026-05-12T11:33:00Z,5.769,CNBC
2026-05-12T11:34:00Z,5.769,CNBC
2026-05-12T11:35:00Z,5.768,CNBC
2026-05-12T11:36:00Z,5.77,CNBC
2026-05-12T11:37:00Z,5.77,CNBC
2026-05-12T11:38:00Z,5.771,CNBC
2026-05-12T11:39:00Z,5.769,CNBC
2026-05-12T11:40:00Z,5.77,CNBC
2026-05-12T11:41:00Z,5.772,CNBC
2026-05-12T11:42:00Z,5.774,CNBC
2026-05-12T11:43:00Z,5.773,CNBC
2026-05-12T11:44:00Z,5.775,CNBC
2026-05-12T11:45:00Z,5.775,CNBC
2026-05-12T11:46:00Z,5.776,CNBC
2026-05-12T11:47:00Z,5.776,CNBC
2026-05-12T11:48:00Z,5.777,CNBC
2026-05-12T11:49:00Z,5.777,CNBC
2026-05-12T11:50:00Z,5.78,CNBC
2026-05-12T11:51:00Z,5.78,CNBC
2026-05-12T11:52:00Z,5.78,CNBC
2026-05-12T11:53:00Z,5.788,CNBC
2026-05-12T11:54:00Z,5.786,CNBC
2026-05-12T11:55:00Z,5.783,CNBC
2026-05-12T11:56:00Z,5.784,CNBC
2026-05-12T11:57:00Z,5.783,CNBC
2026-05-12T11:58:00Z,5.783,CNBC
2026-05-12T11:59:00Z,5.783,CNBC
2026-05-12T12:00:00Z,5.785,CNBC
2026-05-12T12:01:00Z,5.782,CNBC
2026-05-12T12:02:00Z,5.783,CNBC
2026-05-12T12:03:00Z,5.783,CNBC
2026-05-12T12:04:00Z,5.78,CNBC
2026-05-12T12:05:00Z,5.78,CNBC
2026-05-12T12:06:00Z,5.78,CNBC
2026-05-12T12:07:00Z,5.781,CNBC
2026-05-12T12:08:00Z,5.783,CNBC
2026-05-12T12:09:00Z,5.784,CNBC
2026-05-12T12:10:00Z,5.794,CNBC
2026-05-12T12:11:00Z,5.793,CNBC
2026-05-12T12:12:00Z,5.792,CNBC
2026-05-12T12:13:00Z,5.793,CNBC
2026-05-12T12:14:00Z,5.791,CNBC
2026-05-12T12:15:00Z,5.793,CNBC
2026-05-12T12:17:00Z,5.791,CNBC
2026-05-12T12:18:00Z,5.791,CNBC
2026-05-12T12:19:00Z,5.79,CNBC
2026-05-12T12:20:00Z,5.789,CNBC
2026-05-12T12:21:00Z,5.796,CNBC
2026-05-12T12:22:00Z,5.795,CNBC
2026-05-12T12:23:00Z,5.795,CNBC
2026-05-12T12:24:00Z,5.791,CNBC
2026-05-12T12:27:00Z,5.789,CNBC
2026-05-12T12:31:00Z,5.796,CNBC
2026-05-12T12:32:00Z,5.794,CNBC
2026-05-12T12:33:00Z,5.787,CNBC
2026-05-12T12:34:00Z,5.781,CNBC
2026-05-12T12:35:00Z,5.783,CNBC
2026-05-12T12:36:00Z,5.78,CNBC
2026-05-12T12:37:00Z,5.782,CNBC
2026-05-12T12:38:00Z,5.783,CNBC
2026-05-12T12:39:00Z,5.783,CNBC
2026-05-12T12:40:00Z,5.783,CNBC
2026-05-12T12:41:00Z,5.782,CNBC
2026-05-12T12:42:00Z,5.78,CNBC
2026-05-12T12:43:00Z,5.778,CNBC
2026-05-12T12:44:00Z,5.777,CNBC
2026-05-12T12:45:00Z,5.777,CNBC
2026-05-12T12:46:00Z,5.777,CNBC
